Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020
Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,4,6,7,8,9,11,14,18,23,31,44,50,59,68,76,84,96,105,112,120,128,133,136,146,154,160,168,174,188,193,198,205,213,225,231,241,253,266,276,285,299,316,341,365,384,400,405,424,439,460,476,501,525,546,566,581,597,613,637,655,666,685,706,732,750,773,798,827,846,861,876,898,919,936,959,977,1000,1019,1053,1085,1118,1140,1161,1179,1195,1209,1229,1269,1298,1327,1345,1368,1391,1419,1456,1491,1514,1534,1566,1601,1636,1666,1710,1745,1761,1788,1811,1839,1876,1916,1952,1973,2007,2043,2085,2121,2149,2186,2206,2237,2270,2307,2350,2397,2447,2473,2512,2556,2582,2623,2669,2708,2736,2770,2799,2826,2852,2883,2908,2927,2945,2967,2991,3008,3035,3059,3076,3081,3081,3081,3081,3081
Nuevo León,5,5,8,11,13,15,16,17,17,18,18,19,23,28,29,31,33,38,43,45,48,49,52,55,58,62,63,63,69,71,76,79,84,92,99,104,106,111,127,135,143,151,152,158,167,181,209,231,265,285,312,343,396,448,483,531,564,629,694,766,853,929,994,1059,1123,1187,1263,1340,1416,1534,1616,1703,1790,1924,2108,2350,2587,2850,3101,3310,3474,3684,3792,3959,4080,4168,4231,4305,4405,4478,4560,4662,4802,4996,5154,5320,5454,5571,5669,5895,6045,6197,6358,6573,6716,6899,7108,7277,7515,7743,8032,8258,8464,8672,8838,9061,9395,9713,9998,10277,10591,10915,11237,11639,12043,12399,12752,13090,13386,13647,14088,14436,14833,15236,15516,15826,16075,16477,16884,17380,17747,18074,18353,18630,19093,19384,19628,19820,20052,20291,20550,20816,21107,21364,21651,21936,22140,22419,22718,23011,23350,23650,23920,24171,24435,24754,25022,25271,25498,25799,25992,26272,26605,26838,27116,27344,27630,27852,28081,28406,28632,28870,29046,29174,29319,29447,29619,29784,29919,30062,30205,30403,30541,30730,30889,31007,31099,31155,31194,31208,31214,31214
Oaxaca,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,9,9,9,9,11,11,11,11,13,13,16,19,22,25,27,31,33,39,47,49,55,60,66,74,87,107,126,143,152,173,186,199,224,248,271,278,293,303,316,333,339,351,355,363,374,383,393,402,410,419,428,439,445,461,471,481,498,516,530,543,562,574,589,604,622,637,651,665,676,692,708,732,752,793,836,869,900,953,1021,1074,1123,1192,1247,1285,1325,1370,1396,1435,1493,1550,1603,1646,1704,1753,1799,1943,1988,2022,2058,2132,2187,2229,2301,2357,2415,2466,2527,2596,2655,2741,2786,2830,2862,2897,2943,2978,3027,3054,3091,3138,3185,3230,3289,3338,3396,3467,3501,3537,3560,3603,3664,3730,3779,3828,3880,3932,3968,4009,4043,4081,4116,4140,4185,4224,4276,4302,4322,4350,4396,4436,4479,4514,4543,4574,4613,4643,4701,4733,4771,4823,4846,4859,4894,4894,4894,4894,4894
Puebla,0,0,0,2,2,2,2,2,2,3,3,4,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,10,10,11,11,13,15,16,17,17,18,21,23,25,26,28,31,31,35,45,56,66,77,94,112,133,150,183,211,232,258,276,301,332,362,387,419,436,462,487,529,563,603,639,677,721,753,790,831,871,905,940,976,1017,1058,1083,1103,1130,1165,1196,1225,1275,1312,1344,1378,1409,1444,1495,1550,1605,1635,1691,1746,1789,1835,1892,1954,2018,2131,2236,2301,2379,2484,2594,2710,2816,2937,3025,3145,3335,3475,3673,3819,4007,4155,4279,4491,4620,4812,4999,5129,5282,5405,5799,6042,6266,6497,6743,6915,7051,7322,7561,7878,8088,8281,8416,8559,8916,9188,9399,9665,9947,10389,10561,10879,11133,11390,11737,12103,12326,12550,12898,13283,13719,14033,14302,14530,14716,15013,15341,15582,15799,16151,16385,16586,16839,17083,17371,17604,17863,18159,18298,18718,18959,19214,19475,19705,19993,20154,20455,20721,20946,21163,21380,21620,21736,21932,22069,22232,22318,22345,22350,22350,22350,22350
Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,5,6,8,10,10,10,11,12,18,20,27,33,42,50,61,71,83,97,117,132,142,154,177,190,209,230,259,277,302,321,336,346,361,372,382,401,416,431,444,461,468,489,503,518,530,542,549,563,573,590,601,610,624,632,647,660,681,692,703,714,729,740,750,760,770,786,802,821,840,880,922,962,991,1029,1090,1130,1166,1235,1292,1340,1359,1404,1436,1465,1515,1564,1594,1619,1638,1661,1686,1728,1756,1779,1805,1832,1865,1884,1916,1934,1960,1978,2001,2027,2048,2085,2117,2152,2176,2209,2232,2264,2297,2324,2348,2376,2412,2458,2495,2524,2558,2592,2619,2652,2677,2713,2747,2781,2809,2828,2870,2893,2929,2983,3016,3047,3083,3133,3165,3202,3253,3290,3320,3353,3382,3421,3459,3507,3542,3579,3610,3641,3673,3703,3739,3766,3783,3796,3804,3809,3810,3810,3810
Quintana Roo,3,3,4,6,7,8,8,8,8,10,13,15,17,19,21,21,23,23,25,25,25,25,25,26,26,29,32,32,33,33,33,34,34,35,36,36,39,40,42,45,46,49,54,56,58,63,67,75,82,85,93,97,111,126,141,154,159,169,187,199,231,248,265,279,299,316,327,340,354,367,382,401,415,433,448,455,466,486,503,518,525,538,552,571,578,595,605,620,635,641,646,658,671,682,693,707,724,736,745,764,779,789,810,831,857,877,898,927,959,993,1012,1028,1049,1073,1098,1132,1160,1177,1199,1229,1255,1282,1317,1357,1391,1424,1444,1469,1500,1537,1576,1601,1629,1657,1707,1768,1795,1843,1876,1926,1960,2015,2057,2098,2148,2200,2237,2283,2329,2468,2539,2610,2670,2715,2758,2825,2902,2989,3046,3107,3157,3191,3224,3257,3283,3338,3388,3446,3523,3596,3658,3722,3813,3903,3972,4075,4117,4173,4251,4333,4386,4434,4490,4536,4599,4661,4730,4792,4852,4902,4954,5011,5091,5136,5189,5244,5270,5275,5277,5277,5277,5277
San Luis Potosí,1,1,2,3,5,5,6,8,9,9,10,10,10,11,13,15,16,16,19,19,20,21,21,21,21,22,22,22,22,22,22,23,23,25,25,25,25,26,26,28,30,32,32,34,37,41,45,47,55,60,66,77,85,103,115,136,147,174,207,230,280,320,361,384,417,461,515,548,581,620,648,686,719,758,807,842,880,906,954,975,1003,1050,1092,1127,1161,1187,1213,1253,1311,1366,1420,1477,1517,1547,1593,1642,1684,1726,1759,1804,1864,1911,1957,2028,2113,2173,2258,2329,2440,2519,2593,2668,2742,2816,2867,2934,3029,3111,3186,3263,3352,3436,3524,3674,3741,3817,3926,4032,4116,4195,4316,4417,4512,4594,4670,4775,4882,4988,5164,5300,5399,5523,5637,5764,6042,6194,6294,6475,6635,6821,6942,7098,7281,7422,7590,7748,7906,8079,8267,8448,8659,8850,9055,9215,9391,9660,9873,10055,10233,10476,10619,10799,11042,11259,11457,11646,11825,12008,12170,12443,12614,12780,12927,13084,13238,13376,13535,13672,13789,13899,14022,14172,14263,14333,14388,14415,14428,14429,14429,14429,14429,14429
Sinaloa,0,1,1,1,1,1,5,7,8,8,12,16,20,20,20,22,24,26,29,30,30,32,35,38,39,41,43,43,43,43,43,45,47,48,49,49,50,52,54,56,60,60,62,64,65,67,69,73,75,81,83,88,98,104,119,142,154,187,206,228,263,291,320,353,390,428,464,496,530,561,595,640,670,694,724,753,787,810,853,879,916,949,979,1015,1035,1066,1089,1110,1147,1169,1190,1225,1281,1323,1361,1404,1450,1530,1625,1739,1795,1872,1957,2040,2106,2171,2222,2284,2391,2475,2534,2585,2656,2728,2790,2844,2910,2977,3057,3120,3186,3249,3324,3395,3447,3515,3591,3664,3717,3803,3933,4019,4123,4205,4328,4421,4502,4599,4694,4816,4886,4977,5044,5116,5254,5376,5454,5549,5629,5811,5893,6003,6083,6161,6268,6379,6458,6554,6654,6762,6907,7015,7122,7196,7298,7385,7459,7531,7612,7741,7805,7885,7988,8107,8224,8311,8418,8543,8641,8798,8867,8933,9023,9123,9253,9354,9441,9513,9574,9639,9710,9809,9862,9906,9940,9965,9973,9976,9976,9976,9976,9976
Sonora,0,0,2,4,7,7,10,11,11,13,14,16,18,18,19,20,21,21,23,23,23,26,27,28,28,28,28,29,30,30,30,32,32,32,33,34,34,36,38,39,39,40,41,42,43,46,48,54,57,60,66,69,77,91,105,119,138,150,166,180,214,235,255,277,314,331,357,386,404,429,451,476,499,519,549,572,593,605,642,677,709,744,764,804,831,866,889,912,953,978,1020,1045,1078,1104,1139,1171,1207,1240,1267,1308,1355,1390,1448,1491,1555,1612,1681,1768,1891,1970,2048,2133,2184,2248,2321,2386,2464,2534,2669,2747,2822,2889,2974,3102,3199,3293,3409,3522,3637,3724,3905,4048,4157,4270,4397,4512,4628,4757,4856,5000,5090,5207,5318,5428,5558,5650,5747,5835,5953,6113,6234,6395,6522,6654,6807,6930,7028,7157,7289,7459,7665,7791,7923,8049,8182,8297,8381,8457,8542,8655,8728,8815,8881,8949,9018,9088,9162,9247,9343,9454,9531,9601,9715,9807,9937,10070,10252,10341,10422,10545,10685,10836,10989,11117,11177,11227,11236,11237,11237,11237,11237,11237
Tabasco,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,10,11,12,14,16,17,17,18,19,19,20,22,24,26,27,27,31,33,39,54,68,81,95,120,133,150,182,202,225,248,278,308,329,359,402,430,452,470,487,504,536,551,564,586,616,641,667,703,746,787,829,871,928,1000,1087,1149,1205,1244,1301,1351,1399,1443,1495,1549,1612,1714,1791,1871,1995,2076,2144,2254,2364,2431,2548,2665,2761,2876,2991,3159,3290,3400,3549,3720,3935,4072,4220,4359,4511,4777,4930,5119,5314,5491,5673,5809,6221,6386,6575,6746,7005,7221,7395,7592,7778,8038,8212,8466,8649,8809,9180,9429,9632,9875,10109,10428,10615,10871,11095,11290,11631,11898,12092,12332,12545,12805,13061,13298,13536,13686,13893,14108,14358,14567,14755,15188,15395,15616,15906,16124,16408,16608,16804,17013,17166,17551,17712,17905,18071,18254,18504,18684,18976,19194,19384,19566,19774,20035,20164,20305,20420,20517,20609,20663,20679,20701,20704,20704
