Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020
Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,5,6,8,10,10,10,11,12,18,20,27,33,42,50,61,71,83,97,117,132,142,154,177,190,209,230,259,277,302,321,336,346,361,372,382,401,416,431,444,461,468,489,503,518,530,542,549,563,573,590,601,610,624,632,647,660,681,692,703,714,729,740,750,760,770,786,802,821,840,880,922,962,991,1029,1090,1130,1166,1235,1292,1340,1359,1404,1436,1465,1515,1564,1594,1619,1638,1661,1686,1728,1756,1779,1805,1832,1865,1884,1916,1934,1960,1978,2001,2027,2048,2085,2117,2152,2176,2209,2232,2264,2297,2324,2348,2376,2412,2458,2495,2524,2558,2592,2619,2652,2677,2713,2747,2781,2809,2828,2870,2893,2929,2983,3015,3046,3081,3131,3163,3200,3251,3286,3315,3341,3367,3406,3442,3486,3518,3548,3567,3580,3593,3600,3602,3602,3602
Quintana Roo,3,3,4,6,7,8,8,8,8,10,13,15,17,19,21,21,23,23,25,25,25,25,25,26,26,29,32,32,33,33,33,34,34,35,36,36,39,40,42,45,46,49,54,56,58,63,67,75,82,85,93,97,111,126,141,154,159,169,187,199,231,248,265,279,299,316,327,340,354,367,382,401,415,433,448,455,466,486,503,518,525,538,552,571,578,595,605,620,635,641,646,658,671,682,693,707,724,736,745,764,779,789,810,831,857,877,898,927,959,993,1012,1028,1049,1073,1098,1132,1160,1177,1199,1229,1255,1282,1317,1357,1391,1424,1444,1469,1500,1537,1576,1601,1629,1657,1707,1768,1795,1843,1876,1926,1960,2015,2057,2098,2148,2200,2237,2283,2329,2468,2539,2610,2670,2715,2758,2825,2902,2989,3046,3107,3157,3191,3224,3257,3283,3338,3388,3446,3523,3596,3657,3719,3808,3898,3967,4069,4109,4163,4239,4319,4371,4418,4472,4516,4575,4636,4699,4755,4802,4839,4861,4876,4904,4904,4904,4904
San Luis Potosí,1,1,2,3,5,5,6,8,9,9,10,10,10,11,13,15,16,16,19,19,20,21,21,21,21,22,22,22,22,22,22,23,23,25,25,25,25,26,26,28,30,32,32,34,37,41,45,47,55,60,66,77,85,103,115,136,147,174,207,230,280,320,361,384,417,462,516,549,582,621,649,687,720,760,809,844,883,909,957,978,1006,1053,1095,1130,1164,1190,1216,1256,1314,1369,1423,1480,1520,1550,1596,1645,1687,1729,1762,1807,1867,1914,1960,2031,2116,2176,2261,2332,2443,2522,2597,2672,2746,2820,2871,2938,3033,3115,3190,3267,3356,3440,3528,3678,3745,3821,3930,4037,4121,4200,4322,4423,4518,4600,4676,4781,4888,4995,5171,5307,5406,5531,5645,5772,6049,6198,6297,6478,6636,6816,6937,7088,7260,7401,7566,7719,7876,8046,8234,8414,8624,8811,9009,9168,9342,9610,9820,9998,10171,10408,10549,10718,10934,11116,11293,11461,11618,11780,11918,12148,12289,12420,12533,12662,12783,12882,12974,13031,13074,13093,13099,13100,13100,13100,13100,13100
Sinaloa,0,1,1,1,1,1,5,7,8,8,12,16,20,20,20,22,24,26,29,30,30,32,35,38,39,41,43,43,43,43,43,45,47,48,49,49,50,52,54,56,60,60,62,64,65,67,69,73,75,81,83,88,98,104,119,142,154,186,205,227,262,290,319,352,389,427,463,495,529,560,594,639,669,693,723,752,786,809,851,877,914,947,977,1013,1033,1064,1087,1108,1144,1166,1187,1222,1278,1320,1358,1401,1447,1527,1622,1733,1789,1866,1950,2033,2099,2164,2215,2277,2384,2468,2527,2577,2648,2720,2782,2836,2902,2969,3049,3112,3178,3241,3316,3387,3438,3506,3582,3655,3708,3794,3924,4010,4114,4196,4319,4413,4494,4591,4686,4808,4878,4969,5036,5108,5246,5368,5446,5541,5621,5803,5885,5995,6075,6153,6260,6371,6450,6546,6647,6755,6899,7007,7114,7188,7290,7375,7449,7521,7602,7729,7793,7873,7976,8095,8209,8292,8394,8507,8597,8739,8790,8840,8917,8982,9056,9113,9148,9173,9186,9193,9198,9200,9200,9200,9200,9200
Sonora,0,0,2,4,7,7,10,11,11,13,14,16,18,18,19,20,21,21,23,23,23,26,27,28,28,28,28,29,30,30,30,32,32,32,33,34,34,36,38,39,39,40,41,42,43,46,48,54,57,60,66,69,77,91,106,120,139,151,167,181,215,236,256,278,315,332,358,387,405,430,452,477,500,520,550,573,594,606,643,678,710,745,765,805,832,867,890,913,954,979,1021,1046,1079,1105,1140,1172,1208,1241,1268,1309,1356,1391,1449,1492,1556,1613,1682,1769,1892,1971,2049,2134,2185,2249,2322,2386,2464,2534,2669,2747,2822,2889,2975,3103,3200,3294,3410,3523,3638,3725,3906,4049,4158,4271,4398,4513,4629,4758,4857,5001,5091,5208,5318,5428,5558,5650,5747,5835,5953,6113,6234,6395,6521,6652,6805,6928,7026,7154,7285,7455,7662,7788,7920,8045,8179,8294,8377,8452,8535,8646,8718,8805,8870,8938,9004,9070,9140,9221,9309,9414,9484,9550,9656,9743,9861,9986,10147,10205,10256,10298,10306,10311,10311,10311,10311,10311
Tabasco,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,10,11,12,14,16,17,17,18,19,19,20,22,24,26,27,27,31,33,39,54,68,81,95,120,133,150,182,202,225,248,278,308,329,359,402,430,452,470,487,504,536,551,564,586,616,641,667,703,746,787,829,871,928,1000,1087,1149,1205,1244,1301,1351,1399,1443,1495,1549,1612,1715,1792,1873,1997,2078,2146,2256,2366,2433,2549,2666,2762,2878,2993,3161,3292,3402,3551,3722,3937,4073,4221,4360,4512,4777,4930,5119,5314,5491,5673,5809,6221,6386,6575,6746,7005,7221,7395,7592,7778,8038,8211,8465,8648,8808,9179,9428,9631,9874,10108,10427,10614,10869,11093,11288,11630,11897,12091,12331,12544,12804,13060,13297,13535,13683,13890,14104,14354,14562,14748,15180,15387,15607,15897,16114,16394,16592,16785,16993,17145,17502,17643,17823,17972,18134,18302,18440,18648,18796,18900,18987,19045,19084,19122,19144,19144,19144
Tamaulipas,1,2,5,5,6,6,6,6,7,7,7,8,8,8,9,11,11,12,12,13,14,15,15,15,16,16,16,16,16,16,16,16,16,17,17,19,19,20,20,24,25,26,27,28,28,30,30,33,35,38,41,43,48,52,55,61,66,78,93,119,131,142,152,167,195,214,225,250,271,300,321,344,365,389,420,454,476,500,546,569,602,687,746,835,903,974,1065,1107,1196,1266,1326,1408,1487,1574,1660,1828,1966,2076,2198,2295,2359,2430,2538,2631,2723,2792,2867,2922,3035,3153,3271,3474,3739,3957,4039,4104,4326,4666,4897,5040,5281,5483,5643,5887,6100,6331,6513,6714,6925,7141,7430,7708,7961,8187,8409,8553,8679,8914,9165,9499,9763,10094,10325,10592,10983,11448,11725,11977,12210,12535,12701,12948,13214,13479,13728,14065,14294,14577,14865,15138,15614,15935,16270,16565,16834,17167,17473,17785,18078,18489,18740,18967,19240,19451,19782,20062,20372,20643,20833,21126,21275,21443,21584,21720,21819,21899,21985,22037,22068,22099,22107,22108,22108,22110,22110,22110
Tlaxcala,0,0,0,1,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,11,12,16,19,24,27,28,32,39,40,47,53,59,63,75,86,95,110,130,139,155,165,186,195,214,224,236,252,266,278,304,316,330,347,371,393,444,477,497,511,530,542,561,591,621,640,658,675,705,730,768,800,826,853,884,908,930,958,1000,1023,1059,1091,1122,1189,1244,1273,1307,1362,1428,1468,1502,1601,1676,1772,1843,1899,1951,1993,2096,2147,2204,2263,2325,2390,2428,2571,2650,2737,2810,2873,2968,3038,3161,3240,3374,3441,3497,3564,3616,3698,3770,3821,3891,3960,4074,4148,4253,4341,4440,4510,4654,4730,4836,4951,5055,5234,5362,5482,5577,5682,5813,5928,6027,6107,6312,6391,6486,6628,6702,6786,6872,6965,7072,7172,7404,7496,7597,7728,7804,7880,7930,8003,8030,8052,8062,8068,8072,8073,8073,8073,8073
Veracruz,1,7,12,16,18,24,25,25,25,25,27,27,30,32,33,36,39,43,47,48,51,54,57,59,63,65,67,67,70,72,76,78,83,86,89,91,96,100,103,108,111,112,114,117,119,124,128,134,138,151,157,170,187,211,231,244,266,292,317,355,403,439,482,517,549,596,637,677,717,756,776,826,853,883,920,957,993,1024,1063,1097,1123,1172,1232,1280,1321,1373,1422,1486,1556,1609,1653,1705,1742,1794,1839,1898,1948,1982,2027,2072,2114,2153,2195,2243,2288,2346,2394,2447,2504,2560,2608,2652,2695,2765,2844,2904,2985,3045,3110,3163,3226,3280,3353,3427,3481,3539,3602,3681,3752,3846,3974,4063,4131,4208,4295,4379,4462,4563,4648,4767,4852,4946,5046,5131,5267,5392,5481,5566,5685,5827,5913,6029,6124,6207,6349,6491,6580,6706,6843,6976,7120,7213,7322,7455,7595,7738,7862,7976,8103,8267,8373,8492,8660,8763,8896,9020,9162,9335,9455,9631,9743,9863,9969,10074,10192,10267,10351,10436,10474,10486,10491,10492,10492,10492,10492,10492
Yucatán,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,4,4,5,6,6,6,6,6,6,6,7,9,9,9,9,9,9,9,10,10,12,14,14,16,18,20,24,26,28,28,30,37,43,46,52,64,72,82,96,108,123,140,160,174,198,233,248,266,285,304,323,346,385,409,444,465,486,505,522,552,574,596,617,647,682,711,739,773,811,830,881,925,956,1000,1019,1061,1096,1137,1181,1244,1332,1404,1441,1500,1555,1624,1671,1747,1813,1857,1902,1941,1999,2066,2128,2168,2223,2271,2338,2393,2462,2522,2580,2651,2704,2764,2812,2890,2972,3050,3114,3179,3225,3270,3315,3370,3399,3426,3456,3507,3564,3642,3720,3788,3900,3980,4055,4111,4204,4280,4368,4461,4562,4629,4762,4853,4945,5032,5144,5240,5354,5484,5639,6040,6248,6467,6629,6756,6842,7077,7219,7389,7573,7666,7803,7895,7992,8099,8199,8346,8483,8594,8700,8816,8995,9126,9254,9384,9521,9674,9788,9903,9977,10058,10143,10194,10235,10248,10254,10255,10255
Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,8,8,9,9,10,10,11,12,18,21,22,25,27,29,32,38,46,61,70,75,92,100,118,127,136,142,149,162,176,180,185,194,213,225,229,237,251,262,277,287,294,303,316,326,334,343,353,371,384,407,426,463,482,501,513,539,570,605,623,630,642,656,676,708,725,758,779,802,811,845,862,880,914,938,972,994,1018,1035,1064,1087,1105,1126,1135,1157,1177,1199,1219,1239,1265,1287,1300,1321,1342,1383,1407,1424,1449,1477,1503,1536,1574,1626,1672,1739,1797,1861,1913,1978,2022,2057,2081,2120,2176,2215,2249,2271,2306,2340,2366,2423,2467,2504,2575,2620,2653,2706,2773,2816,2872,2928,2962,3013,3092,3136,3200,3263,3321,3395,3443,3503,3563,3655,3814,3883,3949,3985,4042,4119,4160,4254,4319,4344,4362,4379,4386,4389,4390,4390,4390
