Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020
Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,9,19,23,25,26,33,37,42,44,47,50,55,60,61,61,62,63,70,77,83,86,91,94,95,100,105,110,115,122,134,154,170,184,191,206,219,234,247,260,270,291,305,326,343,352,360,381,414,451,478,509,541,570,612,650,689,719,770,819,848,883,949,1000,1060,1129,1179,1241,1269,1356,1456,1567,1716,1821,1947,2064,2225,2386,2543,2740,2897,3053,3208,3389,3594,3736,3937,4127,4347,4508,4760,5005,5339,5676,5924,6111,6318,6574,6886,7059,7169,7248,7310,7327,7333,7336,7336,7336,7336
Guerrero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,5,8,9,12,14,16,19,22,23,26,27,28,31,31,32,33,37,42,46,51,59,69,75,83,87,100,106,118,127,135,150,153,167,174,183,196,213,236,253,272,295,330,363,384,407,435,471,506,557,589,632,680,715,751,789,839,897,960,1024,1094,1169,1256,1400,1513,1614,1768,1879,1997,2090,2184,2299,2391,2493,2609,2716,2821,2925,3027,3118,3271,3379,3490,3573,3685,3805,3901,4030,4165,4320,4426,4549,4645,4732,4856,4941,5018,5135,5233,5305,5345,5383,5401,5409,5412,5413,5413,5413,5413,5413
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,7,8,8,9,9,11,13,16,17,17,23,26,28,31,35,37,42,49,54,54,55,59,60,64,72,74,78,83,90,99,106,117,123,130,145,155,175,193,226,249,268,290,317,338,367,398,425,450,480,516,544,578,622,654,690,721,776,824,887,950,998,1065,1134,1206,1251,1305,1397,1477,1553,1607,1691,1774,1824,1933,1997,2056,2115,2178,2245,2312,2391,2458,2524,2589,2674,2749,2816,2894,2965,3064,3128,3180,3242,3289,3378,3433,3500,3572,3619,3692,3731,3767,3809,3835,3854,3862,3865,3866,3866,3866
Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,6,9,12,16,22,30,38,46,48,54,66,74,74,82,92,98,104,108,112,113,121,123,127,135,140,143,152,160,164,167,173,183,191,197,203,207,214,224,237,244,259,272,280,291,311,331,348,371,392,409,428,449,468,487,519,542,576,603,649,683,706,735,755,792,834,883,919,967,1016,1063,1096,1163,1227,1305,1370,1443,1525,1613,1740,1908,2034,2168,2323,2486,2644,2786,3072,3258,3415,3579,3768,3939,4146,4373,4565,4761,4933,5084,5230,5383,5578,5730,5892,6038,6163,6313,6411,6505,6571,6627,6652,6680,6684,6684,6684,6684
Michoacán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,10,12,16,16,17,17,21,25,27,31,33,36,37,38,41,42,52,55,58,61,67,72,86,94,101,115,122,133,152,161,175,192,213,229,242,280,296,317,341,367,390,424,448,468,487,516,562,591,647,694,749,789,836,900,943,1021,1087,1150,1213,1294,1398,1465,1516,1597,1661,1764,1840,1935,1997,2095,2243,2347,2451,2587,2698,2796,2903,3081,3213,3367,3507,3640,3807,3940,4087,4224,4384,4504,4674,4786,4924,5091,5196,5298,5382,5465,5538,5575,5620,5648,5658,5665,5665,5665,5665,5665,5665
Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,5,6,7,8,10,12,15,16,17,19,21,24,25,29,31,40,44,48,54,61,63,65,72,74,89,95,104,121,129,146,160,179,215,238,273,291,325,351,399,438,468,507,549,600,642,693,724,761,805,847,885,923,992,1034,1081,1127,1161,1194,1218,1260,1311,1359,1408,1449,1498,1536,1587,1639,1690,1743,1775,1809,1847,1908,1958,2016,2083,2106,2131,2172,2240,2287,2344,2403,2435,2472,2515,2563,2615,2653,2697,2726,2750,2771,2805,2840,2859,2881,2893,2895,2898,2898,2898,2898,2898,2898
México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,4,4,6,9,10,11,11,16,19,30,32,37,45,56,66,79,97,110,122,132,153,173,195,224,253,289,331,385,415,452,514,564,642,702,770,842,903,1014,1091,1203,1306,1472,1599,1748,1938,2110,2327,2529,2773,3025,3263,3600,3857,4095,4342,4629,4936,5221,5532,5860,6133,6507,6996,7303,7607,7971,8380,8768,9210,9684,10113,10688,11204,11609,12055,12456,13127,13609,14070,14740,15278,15981,16393,17036,17567,18063,18826,19413,19967,20593,21247,21866,22447,23441,24058,24629,25251,25985,26696,27283,27922,28447,29202,29696,30202,30651,31095,31754,32212,32547,32984,33309,33668,33812,33954,34093,34173,34220,34244,34249,34252,34253,34253
Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,4,4,5,5,5,7,7,7,9,10,10,10,13,15,18,20,23,27,28,29,32,34,38,39,40,43,47,49,51,59,63,65,69,70,75,82,94,101,111,118,126,141,159,180,198,210,229,234,248,256,270,287,307,322,338,346,360,380,401,420,441,463,479,494,512,536,566,604,632,653,683,708,734,775,813,842,869,900,931,968,995,1036,1075,1115,1151,1188,1221,1260,1316,1362,1399,1436,1489,1530,1577,1623,1675,1704,1715,1718,1723,1723,1723,1723
Nuevo León,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,6,15,17,22,24,30,38,45,48,56,62,67,72,75,79,81,82,84,87,89,90,92,96,102,107,117,125,127,134,144,157,168,181,205,218,227,238,247,253,261,268,276,285,296,304,320,332,345,366,390,423,437,451,474,512,530,547,576,652,675,703,748,779,818,866,912,972,1007,1061,1091,1124,1177,1236,1280,1316,1369,1436,1487,1577,1653,1714,1761,1822,1880,1943,2073,2157,2262,2391,2566,2704,2817,3082,3253,3487,3686,3916,4116,4251,4493,4684,4853,5045,5189,5363,5498,5622,5727,5782,5839,5881,5910,5926,5930,5930
Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,5,5,5,7,10,11,12,16,17,18,21,24,28,30,34,35,36,36,41,43,47,52,52,54,60,67,69,73,75,87,97,101,108,115,123,133,142,151,165,176,183,198,211,227,242,274,296,322,342,368,411,434,472,518,557,633,711,797,861,923,1009,1085,1137,1275,1353,1463,1533,1629,1719,1811,1968,2067,2141,2263,2386,2506,2593,2797,2933,3088,3223,3361,3484,3601,3758,3864,4011,4147,4282,4425,4532,4641,4736,4820,4918,5002,5122,5193,5252,5281,5309,5331,5339,5344,5345,5347,5347
Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,8,11,13,14,18,22,25,36,40,46,48,58,67,76,91,98,102,108,122,147,172,191,200,217,240,256,269,281,300,306,315,329,349,368,387,417,435,458,480,511,549,578,619,659,683,716,768,807,844,892,923,960,995,1046,1085,1124,1189,1250,1319,1389,1476,1555,1640,1758,1886,1997,2107,2234,2326,2446,2609,2730,2918,3038,3199,3349,3469,3661,3807,3952,4139,4296,4459,4600,4947,5110,5283,5483,5728,5953,6148,6428,6660,7101,7360,7693,7945,8179,8646,8923,9157,9453,9744,10009,10148,10305,10407,10480,10520,10525,10527,10527,10530,10530
Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,7,8,8,9,10,11,14,17,19,19,22,24,26,30,30,34,37,40,40,41,42,44,48,50,54,57,59,62,65,67,71,76,83,89,90,94,100,103,108,115,119,125,128,137,141,142,150,160,167,172,178,186,200,209,220,233,260,279,316,350,374,416,460,504,526,555,601,650,676,710,749,788,824,858,888,922,975,1013,1032,1064,1102,1143,1172,1230,1279,1313,1326,1364,1400,1433,1470,1501,1531,1570,1605,1646,1681,1714,1738,1759,1781,1819,1853,1880,1898,1920,1935,1947,1959,1961,1963,1963,1963
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,5,8,9,12,16,22,24,27,34,39,47,56,62,72,78,91,97,118,134,152,169,182,201,217,236,250,277,306,322,342,368,400,431,460,489,519,548,589,623,669,693,748,780,807,833,855,899,935,968,1000,1029,1052,1086,1165,1192,1225,1245,1277,1299,1338,1378,1414,1431,1458,1497,1523,1556,1587,1613,1663,1710,1751,1779,1811,1845,1885,1937,1960,2009,2050,2091,2129,2168,2221,2256,2287,2315,2357,2406,2461,2524,2570,2630,2698,2754,2812,2865,2944,3007,3066,3140,3225,3346,3411,3474,3542,3581,3607,3617,3619,3619,3619,3619
San Luis Potosí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,9,11,12,16,18,19,21,24,24,29,32,33,36,38,40,41,45,49,52,56,59,59,60,60,62,64,66,67,68,72,79,80,82,83,85,86,96,104,106,109,115,131,142,163,182,190,207,229,245,266,295,323,342,370,399,424,457,479,496,519,553,586,606,636,670,708,755,787,832,887,934,974,1004,1044,1086,1146,1192,1241,1319,1379,1463,1524,1606,1684,1758,1847,1945,2008,2072,2133,2215,2292,2381,2464,2523,2599,2703,2793,2884,2975,3032,3073,3094,3106,3111,3113,3113,3113
